"summary_type","group_1","group_2","n","mean_total","sd_total"
"weight_class_summary","M","52",195,242.032974358974,101.259518689001
"weight_class_summary","M","53",205,351.263414634146,85.0768330833888
"weight_class_summary","M","56",300,345.777966666667,96.4830636195645
"weight_class_summary","M","57",1,170,NA
"weight_class_summary","M","59",1050,428.934285714286,90.8444572365047
"weight_class_summary","M","60",769,391.234148244473,96.4150337142971
"weight_class_summary","M","62",37,404.756756756757,130.870462970367
"weight_class_summary","M","66",2596,472.564329738058,94.5136271932006
"weight_class_summary","M","67.5",2341,445.327817172149,95.4180839548659
"weight_class_summary","M","69",52,486.923076923077,106.18959111389
"weight_class_summary","M","69+",4,598.75,24.6221445044903
"weight_class_summary","M","74",5264,512.987507598784,92.502384247584
"weight_class_summary","M","74+",4,451.25,123.533059003113
"weight_class_summary","M","74.8",4,556.2175,17.6036196561957
"weight_class_summary","M","75",4496,491.576203291815,94.9036640258809
"weight_class_summary","M","77",82,495.451219512195,112.721129991863
"weight_class_summary","M","82.5",5841,530.407015921931,97.4459051107713
"weight_class_summary","M","83",7882,554.861456483125,96.5739802010965
"weight_class_summary","M","83+",21,587.190476190476,71.4703568254833
"weight_class_summary","M","85",88,510.931818181818,107.691961242223
"weight_class_summary","M","90",6329,559.832068257229,101.145494095359
"weight_class_summary","M","93",8285,588.340575739288,99.8903463304807
"weight_class_summary","M","93+",49,606.897959183673,103.769525250665
"weight_class_summary","M","94",86,543.697674418605,115.296453674093
"weight_class_summary","M","95",2,715.5,127.986327394765
"weight_class_summary","M","100",6168,591.031363488975,106.689319218268
"weight_class_summary","M","100+",2,491.25,228.041936932662
"weight_class_summary","M","105",5992,621.541054739653,110.322791136382
"weight_class_summary","M","105+",24,576.875,116.101178700529
"weight_class_summary","M","110",4430,618.994600451467,114.128073151777
"weight_class_summary","M","110+",6,864.583333333333,47.7340723872023
"weight_class_summary","M","114",4,512.5,88.7881373457814
"weight_class_summary","M","118",20,595.5485,114.821558413823
"weight_class_summary","M","120",3152,653.366909898477,120.347369487887
"weight_class_summary","M","120+",1549,675.985151710781,135.708305893301
"weight_class_summary","M","125",2885,643.47283882149,123.266559224194
"weight_class_summary","M","132",1,747.5,NA
"weight_class_summary","M","136.5",1,564.72,NA
"weight_class_summary","M","140",1215,650.395563786008,139.049750451591
"weight_class_summary","M","140+",808,684.13625,145.21666142974
"weight_class_summary","M","145",11,703.681818181818,108.074574421386
"weight_class_summary","M","145+",1,665,NA
"weight_class_summary","M","148",1,512.5,NA
"age_class_summary","F","13-15",811,234.23447595561,60.9354052979873
"age_class_summary","F","16-17",1653,286.350931639443,72.9698230537274
"age_class_summary","F","18-19",2784,320.529867097701,69.3035836961813
"age_class_summary","F","20-23",7957,344.379206987558,68.4435851648142
"age_class_summary","F","24-34",13662,353.187714097496,75.0328444396982
"age_class_summary","F","35-39",3588,342.291234671126,78.8866586235605
"age_class_summary","F","40-44",3045,333.743513957307,78.0662143798167
"age_class_summary","F","45-49",1843,321.354264785675,76.109016801423
"age_class_summary","F","5-12",271,143.057306273063,54.906829000272
"age_class_summary","F","50-54",1349,303.886849518162,70.9945292607002
"age_class_summary","F","55-59",895,284.945262569832,66.2823467840799
"age_class_summary","F","60-64",645,257.64496124031,57.2463035575228
"age_class_summary","F","65-69",374,247.029759358289,54.8395472914113
"age_class_summary","F","70-74",175,225.986628571429,69.8007062635471
"age_class_summary","F","75-79",68,197.468088235294,52.7433209538974
"age_class_summary","F","80-84",24,162.360416666667,27.6712493203555
"age_class_summary","F","85-89",4,146.1125,32.7851687759369
"age_class_summary","M","13-15",1617,371.222028447743,110.065043926405
"age_class_summary","M","16-17",5454,472.545124679135,97.2137099538064
"age_class_summary","M","18-19",8707,530.492678304812,100.102768944123
"age_class_summary","M","20-23",18456,581.391069570871,104.932492613098
"age_class_summary","M","24-34",24997,608.820994119295,116.12308535312
"age_class_summary","M","35-39",4526,600.80335837384,121.239446671473
"age_class_summary","M","40-44",3234,578.614560915275,112.271665759687
"age_class_summary","M","45-49",1928,549.52593879668,110.949804029891
"age_class_summary","M","5-12",305,165.047704918033,66.5454096145475
"age_class_summary","M","50-54",1667,527.53274745051,100.096278607181
"age_class_summary","M","55-59",1039,491.978373435996,98.5431279082872
"age_class_summary","M","60-64",1018,460.001827111984,102.491112262594
"age_class_summary","M","65-69",552,419.083804347826,89.7474523215274
"age_class_summary","M","70-74",387,371.996485788114,75.9652094016188
"age_class_summary","M","75-79",143,312.930769230769,78.6674761801791
"age_class_summary","M","80-84",60,280.2705,78.8417345694224
"age_class_summary","M","85-89",11,289.590909090909,56.5238083385303
