"Sex","Age","from_class","to_class","mean","q05","q95"
"M",60,"93","100",16.0482044406586,11.9493578815447,16.5942813167606
"M",25,"100","105",11.7210502228717,9.174694448553,12.0957506821487
"M",40,"100","105",11.7210502228717,9.174694448553,12.0957506821487
"M",60,"100","105",11.7210502228717,9.174694448553,12.0957506821487
"M",25,"105","110",10.8880898600052,8.92382389551526,11.2240107713845
"M",40,"105","110",10.8880898600052,8.92382389551526,11.2240107713845
"M",60,"105","110",10.8880898600052,8.92382389551526,11.2240107713845
"M",25,"110","120",18.0282930898698,15.7848428658317,18.5649693237232
"M",40,"110","120",18.0282930898698,15.7848428658317,18.5649693237232
"M",60,"110","120",18.0282930898698,15.7848428658317,18.5649693237233
"M",25,"120","125",7.47393647880021,7.03078191721211,7.69648661126185
"M",40,"120","125",7.47393647880021,7.03078191721211,7.69648661126185
"M",60,"120","125",7.47393647880021,7.03078191721211,7.69648661126174
"M",25,"125","140",24.6420223103209,23.7180472268189,25.6811235761931
"M",40,"125","140",24.6420223103209,23.7180472268189,25.6811235761931
"M",60,"125","140",24.6420223103209,23.7180472268189,25.6811235761931
